station,known_group,date,temp_c,precip_mm
Bangkok,Tropical,2015-08-01,28.23,168.95
Bangkok,Tropical,2015-09-01,27.57,293.1
Bangkok,Tropical,2015-10-01,27.39,192.51
Bangkok,Tropical,2015-11-01,27.56,48.0
Bangkok,Tropical,2015-12-01,27.06,16.74
Bangkok,Tropical,2016-01-01,27.05,48.98
Bangkok,Tropical,2016-02-01,27.98,0.87
Bangkok,Tropical,2016-03-01,31.34,15.19
Bangkok,Tropical,2016-04-01,33.19,13.2
Bangkok,Tropical,2016-05-01,31.44,116.56
Bangkok,Tropical,2016-06-01,28.51,241.2
Bangkok,Tropical,2016-07-01,27.63,136.71
Bangkok,Tropical,2016-08-01,27.98,198.09
Bangkok,Tropical,2016-09-01,26.9,291.0
Bangkok,Tropical,2016-10-01,27.1,269.39
Bangkok,Tropical,2016-11-01,26.22,61.2
Bangkok,Tropical,2016-12-01,24.17,2.79
Bangkok,Tropical,2017-01-01,25.76,36.58
Bangkok,Tropical,2017-02-01,27.62,1.4
Bangkok,Tropical,2017-03-01,30.29,69.13
Bangkok,Tropical,2017-04-01,30.38,47.7
Bangkok,Tropical,2017-05-01,29.07,350.61
Bangkok,Tropical,2017-06-01,27.9,183.9
Bangkok,Tropical,2017-07-01,26.75,385.02
Bangkok,Tropical,2017-08-01,27.03,261.33
Bangkok,Tropical,2017-09-01,27.78,213.3
Bangkok,Tropical,2017-10-01,27.01,261.33
Bangkok,Tropical,2017-11-01,25.59,41.4
Bangkok,Tropical,2017-12-01,24.0,22.32
Bangkok,Tropical,2018-01-01,26.09,53.63
Bangkok,Tropical,2018-02-01,26.79,53.2
Bangkok,Tropical,2018-03-01,29.1,50.84
Bangkok,Tropical,2018-04-01,29.4,155.7
Bangkok,Tropical,2018-05-01,28.59,142.6
Bangkok,Tropical,2018-06-01,28.14,137.4
Bangkok,Tropical,2018-07-01,27.62,177.94
Bangkok,Tropical,2018-08-01,27.2,190.03
Bangkok,Tropical,2018-09-01,27.34,283.5
Bangkok,Tropical,2018-10-01,27.46,180.42
Bangkok,Tropical,2018-11-01,26.36,22.5
Bangkok,Tropical,2018-12-01,26.59,40.61
Bangkok,Tropical,2019-01-01,26.62,1.55
Bangkok,Tropical,2019-02-01,29.99,4.48
Bangkok,Tropical,2019-03-01,30.94,10.54
Bangkok,Tropical,2019-04-01,31.99,51.6
Bangkok,Tropical,2019-05-01,30.51,146.63
Bangkok,Tropical,2019-06-01,29.04,161.4
Bangkok,Tropical,2019-07-01,28.23,130.51
Bangkok,Tropical,2019-08-01,27.99,169.57
Bangkok,Tropical,2019-09-01,27.45,274.2
Bangkok,Tropical,2019-10-01,28.12,111.91
Bangkok,Tropical,2019-11-01,26.99,18.9
Bangkok,Tropical,2019-12-01,26.45,0.0
Bangkok,Tropical,2020-01-01,29.5,6.2
Bangkok,Tropical,2020-02-01,29.76,5.22
Bangkok,Tropical,2020-03-01,31.51,20.46
Bangkok,Tropical,2020-04-01,31.02,72.6
Bangkok,Tropical,2020-05-01,31.02,83.7
Bangkok,Tropical,2020-06-01,28.6,225.9
Bangkok,Tropical,2020-07-01,28.03,221.96
Bangkok,Tropical,2020-08-01,27.74,200.57
Bangkok,Tropical,2020-09-01,27.51,305.7
Bangkok,Tropical,2020-10-01,25.82,392.15
Bangkok,Tropical,2020-11-01,25.9,33.3
Bangkok,Tropical,2020-12-01,24.26,1.86
Jakarta,Tropical,1991-01-01,26.61,367.97
Jakarta,Tropical,1991-02-01,26.33,278.88
Jakarta,Tropical,1991-03-01,27.28,248.62
Jakarta,Tropical,1991-04-01,27.14,172.8
Jakarta,Tropical,1991-05-01,27.42,98.89
Jakarta,Tropical,1991-06-01,26.95,40.5
Jakarta,Tropical,1991-07-01,26.31,13.33
Jakarta,Tropical,1991-08-01,26.51,3.41
Jakarta,Tropical,1991-09-01,27.61,9.0
Jakarta,Tropical,1991-10-01,28.1,23.25
Jakarta,Tropical,1991-11-01,27.48,224.4
Jakarta,Tropical,1991-12-01,27.17,230.02
Jakarta,Tropical,1992-01-01,26.79,210.8
Jakarta,Tropical,1992-02-01,26.63,253.75
Jakarta,Tropical,1992-03-01,27.37,216.07
Jakarta,Tropical,1992-04-01,27.58,196.5
Jakarta,Tropical,1992-05-01,27.62,220.41
Jakarta,Tropical,1992-06-01,27.45,50.7
Jakarta,Tropical,1992-07-01,26.84,42.16
Jakarta,Tropical,1992-08-01,26.46,179.18
Jakarta,Tropical,1992-09-01,27.03,145.8
Jakarta,Tropical,1992-10-01,27.19,190.34
Jakarta,Tropical,1992-11-01,26.79,168.6
Jakarta,Tropical,1992-12-01,26.6,313.41
Jakarta,Tropical,1993-01-01,26.22,403.0
Jakarta,Tropical,1993-02-01,26.25,287.0
Jakarta,Tropical,1993-03-01,26.97,219.48
Jakarta,Tropical,1993-04-01,26.96,247.5
Jakarta,Tropical,1993-05-01,27.27,117.49
Jakarta,Tropical,1993-06-01,27.13,111.6
Jakarta,Tropical,1993-07-01,26.37,43.71
Jakarta,Tropical,1993-08-01,26.41,105.71
Jakarta,Tropical,1993-09-01,26.89,64.8
Jakarta,Tropical,1993-10-01,27.63,106.64
Jakarta,Tropical,1993-11-01,27.9,196.8
Jakarta,Tropical,1993-12-01,27.15,235.29
Jakarta,Tropical,1994-01-01,26.29,402.38
Jakarta,Tropical,1994-02-01,26.49,257.6
Jakarta,Tropical,1994-03-01,26.55,303.49
Jakarta,Tropical,1994-04-01,27.08,189.9
Jakarta,Tropical,1994-05-01,26.69,91.45
Jakarta,Tropical,1994-06-01,26.34,29.1
Jakarta,Tropical,1994-07-01,25.61,0.31
Jakarta,Tropical,1994-08-01,25.89,8.06
Jakarta,Tropical,1994-09-01,27.17,15.9
Jakarta,Tropical,1994-10-01,27.98,49.6
Jakarta,Tropical,1994-11-01,28.24,168.6
Jakarta,Tropical,1994-12-01,27.12,162.13
Jakarta,Tropical,1995-01-01,26.45,370.14
Jakarta,Tropical,1995-02-01,26.15,235.48
Jakarta,Tropical,1995-03-01,26.75,244.28
Jakarta,Tropical,1995-04-01,27.14,217.5
Jakarta,Tropical,1995-05-01,27.38,137.02
Jakarta,Tropical,1995-06-01,27.21,179.4
Jakarta,Tropical,1995-07-01,26.54,124.62
Jakarta,Tropical,1995-08-01,26.69,12.71
Jakarta,Tropical,1995-09-01,27.11,87.3
Jakarta,Tropical,1995-10-01,27.57,208.32
Jakarta,Tropical,1995-11-01,27.46,318.9
Jakarta,Tropical,1995-12-01,26.6,196.54
Jakarta,Tropical,1996-01-01,25.93,352.16
Jakarta,Tropical,1996-02-01,25.98,339.01
Jakarta,Tropical,1996-03-01,26.66,166.78
Jakarta,Tropical,1996-04-01,27.39,215.1
Jakarta,Tropical,1996-05-01,27.58,109.74
Jakarta,Tropical,1996-06-01,27.04,62.7
Jakarta,Tropical,1996-07-01,27.15,73.47
Jakarta,Tropical,1996-08-01,27.01,107.57
Jakarta,Tropical,1996-09-01,27.48,112.2
Jakarta,Tropical,1996-10-01,27.68,245.21
Jakarta,Tropical,1996-11-01,27.37,232.5
Jakarta,Tropical,1996-12-01,26.74,269.08
